Date	Company	Person Name	Room number
1-Jan-2022	Avamba	Anatole Ridehalgh	4008
1-Jan-2022	Fatz	Aldrich McKevin	2002
1-Jan-2022	Leexo	Stanley Hadrill	4012
Hotels			
1-Jan-2022	Rhyzio	Lyndell Tice	1006
1-Jan-2022	Eadel	Broderic Handscombe	3015
1-Jan-2022	Oozz	Deina Harwin	2005
1-Jan-2022	Innotype	Benyamin Crocetti	2001
1-Jan-2022		Thea Melan	5006
1-Jan-2022		Alexei Kneale	3002
1-Jan-2022	Jayo	Tate Manntschke	3014
Booking			
1-Jan-2022		Eudora Nettle	6003
1-Jan-2022	Riffpedia	Elianore Vigar	3002
1-Jan-2022	Tazz	Alonso Mundee	4006
Cleartrip			
1-Jan-2022	Browsezoom	Ysabel Lordon	6003
1-Jan-2022	Skinte	Raff Verecker	3012
1-Jan-2022		Drusi Loomis	2005
1-Jan-2022	Twitterlist	Andrea Humpatch	4005
Hotels			
1-Jan-2022	Shuffletag	Cammy Curle	2016
1-Jan-2022	Geba	Howey Oseman	6001
1-Jan-2022		Kendall Skynner	6003
Expedia			
1-Jan-2022	Flipopia	Prince Coppenhall	2002
1-Jan-2022	Topicblab	Noni Tarbett	1012
1-Jan-2022	Feedmix	Bondon Tuny	3007
1-Jan-2022	Skynoodle	Andros Cathcart	1008
Booking			
1-Jan-2022	Mita	Aubert Racher	4004
1-Jan-2022	Skinix	Curcio Lewis	3008
1-Jan-2022	Aimbu	Weider Brookz	1001
1-Jan-2022	Babblestorm	Alric Reeder	7001
1-Jan-2022	Jayo	Melany Brimblecombe	3010
1-Jan-2022	Quinu	Art Giannotti	3013
Travel Agent 007			
1-Jan-2022	Dynazzy	Ericha MacBain	4002
1-Jan-2022	Tagtune	Scarlett Berthel	2001
1-Jan-2022		Brana Stovin	3008
1-Jan-2022	Kimia	Lottie Barnsdall	2014
1-Jan-2022	Centizu	Faydra Hulland	5006
1-Jan-2022	Muxo	Felice Kramer	4002
1-Jan-2022	Dynabox	Deane Gemson	5005
1-Jan-2022	Skalith	Willie Norree	3002
1-Jan-2022	Tagchat	Almira Bartolomeotti	2004
Expedia			
1-Jan-2022	Buzzdog	Sharona Ferreres	4012
1-Jan-2022	Zava	Ilaire Gaynes	1013
1-Jan-2022		Prinz Rohan	7001
Travel Agent 007			
1-Jan-2022	Ntags	Corny Madill	3002
Booking			
